"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bolivie","BOL","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","0.5","","0.3","0.2","0.5","0.4","","0.9","0.5","0.6","0.8","0.9","0.8","","1.1","0.9","1","1.1","1.1","1.1","1.2","1.5","","",
"Brésil","BRA","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","0.8","0.8","0.8","0.9","0.9","0.9","0.7","0.6","0.6","0.8","","0.8","0.7","","0.8","0.7","0.7","0.7","0.8","","0.8","0.9","0.8","0.9","1","1","1","1","1","","1.1","1.1","1.2","1.2","1.2","1.1","1","1","","",
"Barbade","BRB","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunéi Darussalam","BRN","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhoutan","BTN","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","","","","2.7","","","","","2.7","","","","","2.7","","","",
"Botswana","BWA","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","","","","","","1.2","","","","","","","","","0.8","","","","","","","1.1","","","","","","1.5","","","","","",
"République centrafricaine","CAF","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","2","","","","","1.2","","","","","","","","","","","","",
"Canada","CAN","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","1.7","","","","2.4","","","","","","2.6","","","","","","2.8","","","","2.9","","","2.9","","","2.8","2.7","","2.7","","","","2.6","","","2.7","","","2.7","","","2.4","","","","2.7","","","",
"Europe centrale et les pays baltes","CEB","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suisse","CHE","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","2.9","","","","","","","","","","2.8","","","","","","","","3.1","","3.3","","","","2.9","2.9","3","3.1","3.1","3.2","3.3","3.3","3.2","3.2","3","3.1","","","",
"Îles Anglo-Normandes","CHI","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","1.2","","1.4","","1.2","","1.3","","1.3","","1.3","","","1.4","","","1.9","","","1.9","","2.1","","2.1","","2.2","","2.3","","","",
"Chine","CHN","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","","","","","","3.1","","","2.7","","","2.3","","","2.4","","","2.1","","2","2.1","2.1","2.5","2.5","2.6","2.7","","","","",
"Côte d'Ivoire","CIV","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","2.8","2.5","2.7","","","","2.3","","","2.7","","","2.6","","","","2.3","","","","","","1.8","","","","","","","2.1","","","","","",
"Cameroun","CMR","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","","2.5","","","","","","2.5","","","","","","","1.7","","","","","","",
"Congo, République démocratique du","COD","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","2.1","","","","","","","","",
"Congo, République du","COG","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","1.6","","","","","","","","","",
"Colombie","COL","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","","","","0.5","","","0.3","0.1","0.5","1","1.1","1.2","1.2","","","0.9","1.1","1.1","1.2","1.2","1.2","1.2","1.3","1.3","1.4","1.4","","",
"Comores","COM","Part des revenus détenus par les 10% moins élevés","SI.DST.FRST.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","","","","","","","1.6","","","","","","",
