Pays,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Finland,Finland,Finland,Finland,Finland,Finland,Finland,France,France,France,France,France,France,France,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Korea,Korea,Korea,Korea,Korea,Korea,Korea,Japan,Japan,Japan,Japan,Japan,Japan,Japan,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Norway,Norway,Norway,Norway,Norway,Norway,Norway,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,New-Zealand,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,Portugal,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Sweden,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,Slovak Republic,United-States,United-States,United-States,United-States,United-States,United-States,United-States
Variables,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports
1992-Q2,564.51497,,,6.54903856559371,320.92432,128.96734,103.47565,208.193,56.1257576666667,62.8045721666667,10.6340788333333,112.742,36.113,32.875,,,,3.79931708601442,,,,,,,,,,,268.7225,,,11.0,139.8865,49.58675,65.49325,,,,9.1539597912601,,,,,,,,,,,32.116,,,,17.095,6.992,5.692,379.699,,,,202.661,85.316,63.792,,,,,,,,,,,14.9558277132402,,,,,,,,,,,,,,,,,,133236.6,,,2.43333333333333,81123.8,51615.0,17207.2,,62.6761709468476,64.0237274332587,2.1,,,,,,,,,,,495.252,,,,172.01,86.352,201.54,27.654,56.8,63.4,10.5,15.525,4.191,7.216,,,,,,,,,,,,,,,301.474,,,,,58.705,60.539,,,,,,,,112.949780344,,,,61.76830649,27.110239994,43.40200293,,,,,,,,9637.732,61.5333333333333,66.6,7.6,6203.224,1655.489,780.613
1992-Q3,563.5315,,,6.76038394473812,321.32507,125.68068,106.45744,210.305,56.1719595,62.9896266333333,10.8227171666667,112.963,36.404,33.513,,,,3.59800079082935,,,,,,,,,,,270.1655,,,11.5333333333333,140.63175,50.58425,66.49075,,,,8.94274279501665,,,,,,,,,,,31.839,,,,17.069,6.896,5.684,379.844,,,,203.941,84.352,63.361,,,,,,,,,,,15.0480694598757,,,,,,,,,,,,,,,,,,133326.7,,,2.56666666666667,81954.2,49584.6,17581.8,,62.5819432725385,63.9741205314346,2.16666666666667,,,,,,,,,,,501.74,,,,168.337,85.669,206.641,27.137,56.4,63.1,10.6,15.515,4.174,7.003,,,,,,,,,,,,,,,303.395,,,,,58.929,59.352,,,,,,,,111.799687902,,,,61.593852068,25.840941601,42.555726541,,,,,,,,9732.979,61.5333333333333,66.6,7.63333333333333,6269.718,1664.898,797.168
1992-Q4,561.7915,,,7.07352660128464,330.78289,125.40805,101.66527,214.62,55.6844260666667,62.6712115,11.1484149,113.334,39.496,34.524,,,,3.76750421079959,,,,,,,,,,,271.7025,,,11.7333333333333,141.14925,48.487,68.307,,,,9.14278030725658,,,,,,,,,,,31.601,,,,16.902,6.687,5.971,379.042,,,,205.086,83.177,62.815,,,,,,,,,,,15.2148799913763,,,,,,,,,,,,,,,,,,135407.5,,,2.6,83637.2,50611.5,18077.9,,62.7796302890997,64.2494023362764,2.26666666666667,,,,,,,,,,,498.149,,,,171.135,93.122,202.699,27.405,56.5,63.2,10.6,15.729,4.322,7.03,,,,,,,,,,,,,,,305.506,,,,,57.51,61.693,,,,,,,,110.943776487,,,,61.584955945,25.59024264,42.460264473,,,,,,,,9834.51,61.3666666666667,66.2666666666667,7.36666666666667,6344.446,1699.334,801.187
1993-Q1,557.66818,,,7.37362895973398,321.55559,122.46974,99.56196,216.105,55.6334097666667,62.4408239666667,10.9024234666667,113.284,38.444,34.684,,,,3.94411856232806,,,,,,,,,,,273.44125,,,11.1333333333333,141.9,47.956,70.786,,,,10.4296112260098,,,,,,,,,,,31.694,,,,16.897,6.091,6.52,376.671,,,,202.37,81.786,63.661,,,,,,,,,,,15.7499609523088,,,,,,,,,,,,,,,,,,138103.0,,,2.83333333333333,85330.5,53038.4,18356.7,,62.3603126413022,63.8428123964369,2.3,,,,,,,,,,,494.871,,,,172.726,83.521,197.08,28.005,56.7,63.0,10.1,15.677,4.463,7.086,,,,,,,,,,,,,,,307.712,,,,,58.908,62.409,640.077,,,,302.919,122.802,153.541,110.771709694,,,,61.297467323,25.327369323,44.143046756,,,,,,,,9850.973,61.4333333333333,66.2,7.13333333333333,6368.772,1700.163,803.009
1993-Q2,557.51685,,,7.7812003634503,321.91626,121.47012,97.46778,217.327,55.4682640666667,62.2184495333333,10.8490109,114.19,38.846,35.379,,,,4.59278174148441,,,,,,,,,,,275.93075,,,11.6333333333333,142.42075,49.0945,72.81125,,,,10.8348848817002,,,,,,,,,,,31.628,,,,16.777,6.186,6.469,376.93,,,,203.677,80.328,62.394,,,,,,,,,,,15.7768227067192,,,,,,,,,,,,,,,,,,141645.8,,,3.0,86209.4,55431.4,18795.4,,62.2828784119107,63.8393869251784,2.43333333333333,,,,,,,,,,,503.462,,,,173.415,88.57,213.754,28.29,56.8,63.2,10.2,15.926,4.727,7.302,,,,,,,,,,,,,,,309.236,,,,,58.574,61.56,647.853,,,,306.388,123.189,155.174,111.996036533,,,,61.33883421,25.602313476,42.670963248,,,,12.4319998212613,,,,9908.347,61.6666666666667,66.3333333333333,7.06666666666667,6426.703,1728.534,812.631
1993-Q3,560.84578,,,8.16891482273833,324.72146,122.22741,97.96472,217.554,55.5658997,62.3549488,10.8877338,113.938,38.445,36.529,,,,4.28740665342352,,,,,,,,,,,278.5605,,,11.4333333333333,143.357,50.15275,73.3675,,,,10.6162737685021,,,,,,,,,,,31.811,,,,16.565,6.063,6.798,377.513,,,,204.014,79.376,63.171,,,,,,,,,,,15.6606470967252,,,,,,,,,,,,,,,,,,144257.3,,,2.9,87817.1,56191.1,19580.2,,62.2371551668703,63.8447872735297,2.53333333333333,,,,,,,,,,,513.494,,,,174.907,91.181,209.85,29.063,57.2,63.3,9.5,16.063,5.113,7.464,,,,,,,,,,,,,,,311.683,,,,,58.639,62.621,655.831,,,,305.774,121.014,165.408,112.393556269,,,,61.597134533,25.473613742,41.128911401,,,,12.7412472580339,,,,9955.641,61.8333333333333,66.3333333333333,6.8,6498.229,1745.359,810.46
1993-Q4,560.31617,,,8.5204723378075,328.32811,120.34932,99.91691,221.594,56.0165133333333,62.860575,10.8876561333333,115.864,39.598,37.262,,,,4.26231278166434,,,,,,,,,,,279.763,,,11.3,143.71975,50.85075,75.507,,,,10.8278928733245,,,,,,,,,,,32.045,,,,16.318,6.029,7.013,378.316,,,,204.7,79.09,65.554,,,,,,,,,,,15.5371865279017,,,,,,,,,,,,,,,,,,147017.9,,,2.83333333333333,89891.4,57554.8,19876.3,,62.2649983958935,64.0134650203497,2.73333333333333,,,,,,,,,,,531.764,,,,178.016,94.273,221.038,29.56,57.6,63.6,9.4,16.264,5.124,7.666,,,,,,,,,,,,,,,313.765,,,,,59.866,64.338,656.36,,,,306.079,123.755,165.416,113.062567961,,,,61.559673831,25.868692543,42.440905972,,,,13.1528738368572,,,,10091.049,61.9,66.3333333333333,6.63333333333333,6555.274,1803.922,836.583
1994-Q1,568.1653,,,8.59621589740809,327.36635,124.12065,102.91626,225.301,56.2453309666667,62.8023138666667,10.4406948,116.506,40.844,38.37,,,,3.62473694312792,,,,,,,,,,,283.8855,,,11.0333333333333,146.05925,51.50875,75.998,,,,7.82713565875859,,,,,,,,,,,32.26,,,,16.434,5.985,7.047,381.151,,,,204.907,80.357,65.296,,,,,,,,,,,15.2801488432675,,,,,,,,,,,,,,,,,,151306.2,,,2.7,92581.3,60635.4,20839.8,111569.575,61.9944278989336,63.8197950139931,2.86666666666667,61876.275,34942.925,9439.025,,,,,,,,525.701,,,,180.177,88.388,222.587,30.451,58.0,64.0,9.3,16.62,5.076,7.929,,,,,,,,,,,,,,,317.468,,,,,60.572,66.712,663.171,,,,309.166,128.816,172.987,113.623647847,,,,61.960376635,25.795753712,43.171332726,,,,13.3519862315829,,,,10188.954,62.2,66.5666666666667,6.56666666666667,6630.253,1804.884,844.786
1994-Q2,569.52707,,,8.6572464347625,325.36264,125.51408,107.85084,228.104,56.5212768333333,62.7199527333333,9.8832338,117.214,43.177,39.043,,,,3.49949828754775,,,,,,,,,,,288.034,,,10.6333333333333,146.2865,53.123,81.402,,,,8.13438561863903,,,,,,,,,,,32.543,,,,16.378,6.102,7.486,385.213,,,,206.789,81.274,67.98,,,,,,,,,,,15.0238944163045,,,,,,,,,,,,,,,,,,153774.9,,,2.53333333333333,94032.3,61630.0,21911.5,110951.325,62.0387542367462,63.8326277076174,2.8,62206.125,35376.275,9491.0,,,,,,,,537.944,,,,180.63,97.502,225.769,30.53,58.4,63.9,8.5,16.897,5.519,8.147,,,,,,,,,,,,,,,321.166,,,,,59.354,66.946,670.262,,,,308.511,128.394,177.591,112.447137645,,,,62.09327739,26.36991732,42.407648998,,,,13.5890589921555,,,,10327.019,62.3666666666667,66.5,6.2,6681.841,1839.627,873.301
1994-Q3,573.6124,,,8.46660182768792,329.04946,126.13506,107.49583,229.839,57.1274961666667,63.1073221666667,9.47555,119.446,45.151,38.728,,,,3.72060182567023,,,,,,,,,,,291.71625,,,10.1333333333333,146.92725,53.16,84.59575,,,,7.92793129015437,,,,,,,,,,,33.286,,,,17.091,6.223,7.796,387.463,,,,207.615,81.927,69.387,,,,,,,,,,,14.5705682501414,,,,,,,,,,,,,,,,,,156361.8,,,2.43333333333333,95998.1,63348.6,23014.2,112234.575,61.6958131222875,63.5786571408316,2.96666666666667,62653.275,35521.5,9664.625,,,,,,,,530.636,,,,181.398,94.019,221.855,30.647,59.0,64.1,8.0,17.167,5.711,8.287,,,,,,,,,,,,,,,324.811,,,,,59.751,68.899,677.649,,,,310.324,131.167,180.135,113.655162306,,,,62.287354428,26.877663273,42.616312794,,,,13.765428008073,,,,10387.382,62.5333333333333,66.5333333333333,6.0,6732.791,1864.201,905.984
