USA_pib,USA_cho,sc_cho,USA_emp,sc_emp,USA_act,sc_act
0.0,5.4799740575025,6.545294746447579,0.0,0.0,0.0,0.0
0.005985957717198338,5.6767325109109805,6.411960486786665,-0.0017567935580729604,0.0030563344827889125,0.00032554301331698046,0.0015727200692891416
0.014682765343386308,5.66060056885398,6.305747854994527,0.0006808242512268168,0.006453790951715039,0.002596773338784286,0.0037853211273934225
0.020612937816643855,5.57433748658384,6.260082080219878,0.002984947109294987,0.007904357931741624,0.003987271015822901,0.004724668067368362
0.03159326185374052,5.54786481687682,6.20080670094681,0.0055533899707886246,0.008068655938742201,0.0062761664660413215,0.004328272504305262
0.04310498955383128,5.47267405738411,6.124493000820338,0.011464546410852046,0.008940060265135285,0.01138643469834276,0.004389273727735201
0.04991005228807395,5.26196900606426,6.04839924455165,0.018980312164588554,0.010799082425339146,0.016635500339420347,0.005426422825801393
0.06184052916429239,5.31304238336366,5.973429401164147,0.0239623437441542,0.011571611409429437,0.02215711361956123,0.005339871598038825
0.0800696525506745,5.22683633806765,5.892219942955732,0.029211365226167067,0.014591063631855417,0.026462356880942225,0.007366346436741318
0.08226301894422314,4.97788640025861,5.846578730822053,0.0359715495559957,0.018264553210623938,0.03049757609252247,0.010465212082359374
0.09277701236632763,4.861019596358941,5.720635834694467,0.04086280456872577,0.021948543122592312,0.03409116718526426,0.012685834757207175
0.10556610297964335,4.68363891330229,5.530637035071009,0.045294836949266455,0.03530054997966767,0.036561761061520176,0.023620337339768375
0.10169845476918228,4.641226123667191,5.308092445169104,0.04752687253367532,0.041201971911272506,0.038313132001385336,0.026815496565311975
0.13346266848326266,4.417479616580531,5.028412158245107,0.05134749803761875,0.04697717247083269,0.0396607286611626,0.029249036084581435
0.14834479257784494,4.5324155145557805,4.821364056101754,0.05382249443325506,0.052716120583733664,0.04336283409167431,0.03246594381327871
0.15946815026477495,4.43372646847776,4.654368203393793,0.059632194710395894,0.059425392502007374,0.04803147420513007,0.03701331775936467
0.1688370275947834,4.28845692344613,4.570070132924803,0.06483582790898298,0.0678033404671668,0.05157964069136251,0.04401116345107605
0.1580293169134667,4.2528060949460205,4.539682905910426,0.06700912571486528,0.0733864348743721,0.053333535220475785,0.04895722736328073
0.17974282123186613,4.2483589850199905,4.439008377340107,0.06986057787294465,0.07850143059907201,0.05609938903904245,0.05263916985516004
0.20106760108595853,4.08311962911901,4.344480954679212,0.0755020745115391,0.08272019424505014,0.059839348308311946,0.055576231692937114
0.21691710652406576,4.04979902003243,4.374580405505967,0.0942794743502746,0.08534371921525509,0.0779688134840445,0.05821886657634674
0.21911629165002847,3.9487527178360198,4.310200468442284,0.09690131519225906,0.09002276841510551,0.07941483012459201,0.06196214523286953
0.24455404864124114,4.030797313425841,4.2380353754748255,0.09488821132784211,0.09526819754450033,0.07835492263937394,0.06613201498785794
0.25223938581606564,3.91948362062532,4.146495018269337,0.10006247563716593,0.10153407757001728,0.08219582547866179,0.07111702414180218
0.2569465062823817,4.23063104827027,4.088307278225696,0.10313018961622322,0.10531481324563845,0.08873949240525575,0.07407409748619381
0.2670818900593029,4.41145024683667,4.147621760869343,0.09803335237861012,0.10539543858655401,0.08575913350039735,0.07466067816736542
0.26145867588326593,4.81960981790419,4.279329169732555,0.09508044405760027,0.10596129430796539,0.08748274495849717,0.07659285473789865
0.2894911461291498,5.53682006143805,4.464574710041101,0.091126323602441,0.10524523124672497,0.09178294104138193,0.07793873033180726
0.2752036940892586,5.70439497756438,4.616745225954541,0.09016249005462068,0.10288519696029041,0.09275704649208476,0.07733248638582566
0.2889783773640884,5.844118479714401,4.7802002654644555,0.09220229290927925,0.10083736282130623,0.09642634526234213,0.07704128188797046
0.2977515909185233,5.72945856800288,4.8957971525746276,0.09577995760200311,0.10100765637640846,0.09867991046305098,0.07845294429572629
0.31041174778855063,5.84859251161521,5.0783992407831615,0.09453845455564834,0.10046845615314909,0.09882375505033059,0.08013537022460812
0.3171355785212076,5.872724906918959,5.1896810043683175,0.10088747443571136,0.09959015953269226,0.10548098349320512,0.08029756329677931
0.3028990593740982,6.150262482103491,5.017674473337969,0.10258019041719803,0.10631400114947569,0.11045497790597852,0.08491223760415825
0.31787677286364785,6.104764938788531,4.899902022934158,0.10168577424401515,0.1147195896772101,0.10901653203318255,0.09191728772403428
0.34046019281516304,5.81820658652045,4.789610384733151,0.10752484341041926,0.10671091814663605,0.11150226744494159,0.08264200299544061
0.37547768543198107,5.6817898046516,4.794452573924603,0.1092549379782427,0.10667370407200694,0.11162844690746997,0.08275236896727994
0.37048593942510477,5.5891248937977895,4.796311613919295,0.11256294286949771,0.10756256286881283,0.11384920544792447,0.0834816758828299
0.38841647723219136,5.43405825093578,4.780014665668468,0.11766245000614034,0.11015586223492471,0.11711977711659739,0.08565021351228
0.41340910796462427,5.38856882891083,4.64733135495435,0.12159254137007985,0.11748435622646963,0.12050895748004713,0.09131629143253434
0.40853333246303314,5.28346343393646,4.781395555031695,0.12478574060328738,0.1226472841601644,0.12245212120294212,0.09768036936701449
0.44408472838679297,5.10655417109013,4.601302730908005,0.13357771809070135,0.1286009408433406,0.1291169204135682,0.10150372385487584
0.4576114819438028,4.96565849966049,4.637068469323429,0.13967576746247154,0.13309155936891806,0.13350796570947168,0.10616826127417715
0.4710524136678332,4.95383207138031,4.884295047292544,0.142180132747379,0.139030862852897,0.13585742730170267,0.11457130359764237
0.4811561443784302,4.72028126854239,4.5613930545214565,0.14898570536061764,0.1512196025815743,0.1398245096035189,0.12271291108185747
