Downloaded from wid.world on 28-01-2021 at 16:36:45
Percentile;Year;"sptinc_z_AT
Pre-tax national income
Top 10% | share | adults | equal split
Austria";"sptinc_z_GB
Pre-tax national income
Top 10% | share | adults | equal split
United Kingdom";"sptinc_z_US
Pre-tax national income
Top 10% | share | adults | equal split
USA";"sptinc_z_TR
Pre-tax national income
Top 10% | share | adults | equal split
Turkey";"sptinc_z_BE
Pre-tax national income
Top 10% | share | adults | equal split
Belgium";"sptinc_z_CA
Pre-tax national income
Top 10% | share | adults | equal split
Canada";"sptinc_z_DK
Pre-tax national income
Top 10% | share | adults | equal split
Denmark";"sptinc_z_FI
Pre-tax national income
Top 10% | share | adults | equal split
Finland";"sptinc_z_FR
Pre-tax national income
Top 10% | share | adults | equal split
France";"sptinc_z_DE
Pre-tax national income
Top 10% | share | adults | equal split
Germany";"sptinc_z_GR
Pre-tax national income
Top 10% | share | adults | equal split
Greece";"sptinc_z_AU
Pre-tax national income
Top 10% | share | adults | equal split
Australia";"sptinc_z_IE
Pre-tax national income
Top 10% | share | adults | equal split
Ireland";"sptinc_z_IT
Pre-tax national income
Top 10% | share | adults | equal split
Italy";"sptinc_z_JP
Pre-tax national income
Top 10% | share | adults | equal split
Japan";"sptinc_z_LU
Pre-tax national income
Top 10% | share | adults | equal split
Luxembourg";"sptinc_z_NL
Pre-tax national income
Top 10% | share | adults | equal split
Netherlands";"sptinc_z_NZ
Pre-tax national income
Top 10% | share | adults | equal split
New Zealand";"sptinc_z_NO
Pre-tax national income
Top 10% | share | adults | equal split
Norway";"sptinc_z_PT
Pre-tax national income
Top 10% | share | adults | equal split
Portugal";"sptinc_z_ES
Pre-tax national income
Top 10% | share | adults | equal split
Spain";"sptinc_z_SE
Pre-tax national income
Top 10% | share | adults | equal split
Sweden";"sptinc_z_CH
Pre-tax national income
Top 10% | share | adults | equal split
Switzerland"
p90p100;1991;0.3281;0.3229;0.382;0.5419;0.3252;0.3277;0.2735;0.235;0.2974;0.309;0.3405;0.2626;0.2989;0.268;0.3947;0.3622;0.2607;0.3078;0.229;0.3588;0.3682;0.2593;0.2931
p90p100;1992;0.3278;0.3202;0.3926;0.5419;0.3212;0.3352;0.2744;0.2341;0.2937;0.3049;0.3383;0.2665;0.309;0.2709;0.3542;0.3613;0.2576;0.3207;0.238;0.3653;0.3636;0.2574;0.2856
p90p100;1993;0.3275;0.3326;0.3892;0.5419;0.3212;0.3498;0.2739;0.2447;0.2937;0.2989;0.3486;0.272;0.3053;0.2767;0.3593;0.3636;0.2592;0.3285;0.2554;0.3784;0.3584;0.269;0.2863
p90p100;1994;0.3272;0.3412;0.3895;0.5419;0.3312;0.3732;0.2843;0.2733;0.2973;0.2944;0.3604;0.2765;0.3139;0.2809;0.3631;0.364;0.2646;0.3289;0.2677;0.3817;0.361;0.3008;0.2873
p90p100;1995;0.3275;0.3421;0.3974;0.5462;0.3253;0.3513;0.2862;0.2879;0.2984;0.2929;0.363;0.272;0.313;0.2884;0.3726;0.365;0.2702;0.3284;0.2678;0.3848;0.3599;0.3117;0.2858
p90p100;1996;0.3283;0.3529;0.4066;0.5462;0.3287;0.3581;0.2864;0.2878;0.3071;0.3017;0.3712;0.2687;0.2996;0.2934;0.3811;0.3721;0.2697;0.3161;0.283;0.3794;0.3577;0.2987;0.2994
p90p100;1997;0.3323;0.3483;0.4135;0.5462;0.3277;0.3662;0.2968;0.3061;0.3093;0.309;0.3814;0.277;0.3131;0.2953;0.379;0.3735;0.2705;0.3274;0.2929;0.3882;0.3457;0.3071;0.3159
p90p100;1998;0.3389;0.3517;0.4177;0.5462;0.325;0.3682;0.2894;0.314;0.315;0.3165;0.3794;0.2795;0.3351;0.3001;0.3832;0.3807;0.2687;0.3449;0.2721;0.3828;0.3432;0.3065;0.3177
p90p100;1999;0.3198;0.3572;0.4208;0.5462;0.3259;0.371;0.3016;0.3257;0.3139;0.316;0.383;0.2913;0.3307;0.2985;0.3902;0.3785;0.2706;0.3461;0.2818;0.3872;0.3452;0.3083;0.3144
p90p100;2000;0.339;0.351;0.4264;0.5462;0.3246;0.387;0.3064;0.3294;0.3174;0.3176;0.3951;0.2968;0.3458;0.3061;0.4006;0.3686;0.2709;0.3168;0.3153;0.3833;0.3407;0.2992;0.3186
