,Dates,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,Pays,numero
2,2007-Q3,0.027136312206703674,0.013355836106711294,0.009641896911909177,6.8375870452526915,27.095,12.839,21.491,Finland,8
3,2007-Q4,0.04078793611930342,0.018230415423195662,0.012113331598101578,6.618028254346958,27.003,12.76,20.527,Finland,8
4,2008-Q1,0.0395451931816075,0.023810767178447784,0.01405049859836025,6.2856215256126,27.69,12.973,21.788,Finland,8
5,2008-Q2,0.03129115426705998,0.027055086089885227,0.018805901158667163,6.42746282733595,27.576,12.944,23.313,Finland,8
6,2008-Q3,0.03474115704932029,0.024409468009405747,0.014560005547509726,6.27790993937912,27.321,13.058,22.298,Finland,8
7,2008-Q4,0.012353235768738464,0.028568060596062463,0.02094951536838194,6.4863762727929295,27.042,12.189,19.755,Finland,8
8,2009-Q1,-0.05319681709420725,0.012713341052073227,0.012635781299216789,7.17191703477349,26.51,11.505,17.033,Finland,8
9,2009-Q2,-0.057296013948398325,-0.00448183635622132,0.009145033160693922,8.43242331393904,26.438,11.112,16.449,Finland,8
10,2009-Q3,-0.048485522972195896,-0.011187758014536859,0.003254898421500878,8.515258506760041,26.597,11.09,16.953,Finland,8
11,2009-Q4,-0.05560810936137848,-0.012582983239876996,0.005853514978783048,8.880361299916949,26.885,11.304,19.189,Finland,8
12,2010-Q1,-0.04650084395229321,-0.011187038152002041,0.005420018572273697,8.71219972067639,26.864,10.836,16.243,Finland,8
13,2010-Q2,-0.020032274219575954,-0.00928739324525857,0.004732624877411157,8.47424830733866,27.244,11.549,18.994,Finland,8
14,2010-Q3,-0.024242761486097882,-0.0058294140701865785,0.006137250638712693,8.28300842924554,27.552,11.634,18.815,Finland,8
15,2010-Q4,-0.003264518761708583,-0.005085511229329037,0.004966770157281208,8.107477516524192,27.964,12.027,19.876,Finland,8
16,2011-Q1,0.0021516146383990277,-0.0025016798800628786,0.0076329023964791885,8.112602274954769,27.772,11.753,19.243,Finland,8
17,2011-Q2,0.00011129041233098191,0.0032642115466509783,0.010118738069393379,7.80889670715515,28.38,11.884,18.465,Finland,8
18,2011-Q3,0.0016693561849647287,0.0031660490675314316,0.009088558877016645,7.7238082194362,28.36,12.052,19.224,Finland,8
19,2011-Q4,0.00157661417468913,0.007084174243216063,0.010370398389331166,7.480926079070119,28.285,12.146,18.495,Finland,8
20,2012-Q1,-0.0025411310815572005,0.007981788947086923,0.01136273171960782,7.48932295757665,29.077,12.205,19.251,Finland,8
21,2012-Q2,-0.01318791386122083,0.006512277434965421,0.011056141387941823,7.59618013961543,27.753,11.94,19.098,Finland,8
22,2012-Q3,-0.017045981488694694,0.008783381761821545,0.017993557932958287,8.01881314209928,28.092,11.927,19.063,Finland,8
23,2012-Q4,-0.017713723962680585,0.0032611278384171907,0.008462599193665071,7.6577805056412185,28.31,11.628,18.192,Finland,8
24,2013-Q1,-0.025541149629959296,-0.0020438873649553622,0.009281421523340458,8.22058542353151,28.095,11.671,19.495,Finland,8
25,2013-Q2,-0.021794372414816413,-0.0002947506354663758,0.009262708948233405,8.05801724185904,28.189,11.380999999999998,18.931,Finland,8
26,2013-Q3,-0.0185298536531077,-0.006712148784601744,0.0029841185361610626,8.07636558117269,28.217,11.126,19.26,Finland,8
27,2013-Q4,-0.020217758240127545,-0.007420809781664966,0.006012157908350918,8.41843598784497,28.138,11.323,18.351,Finland,8
28,2014-Q1,-0.027340344629310256,-0.008283247139342118,0.005711480547089017,8.470653520645099,28.287,11.105,18.131,Finland,8
29,2014-Q2,-0.02576373045462126,-0.00592142227946728,0.008156411660722018,8.4751727241521,28.268,11.259,18.785,Finland,8
30,2014-Q3,-0.022406469682636813,-0.00782454255063745,0.006904507525784478,8.53681627258876,28.434,11.255,19.097,Finland,8
31,2014-Q4,-0.02489195555802839,-0.00984659342722347,0.011810052199466781,9.16575395063767,28.334,11.048,18.54,Finland,8
32,2015-Q1,-0.03149518668966656,-0.01036437614626981,0.010584310384314106,9.1031384549568,28.634,11.18,18.315,Finland,8
33,2015-Q2,-0.016934691076363712,-0.015547176544628939,0.008871973893887513,9.425703234843802,28.7,11.152,19.081,Finland,8
34,2015-Q3,-0.017787917570901327,-0.010151589572527667,0.014821963774758128,9.463239388522029,28.908,11.076,18.63,Finland,8
35,2015-Q4,-0.012928236232448494,-0.01267621806291265,0.012715422100249417,9.50631073340849,28.902,11.469,18.819000000000006,Finland,8
36,2016-Q1,-0.0007048392780961309,-0.008831140228220487,0.011701542339336325,9.06284636220432,29.327,11.784,18.823,Finland,8
37,2016-Q2,0.0011500009274201903,-0.009281664606620704,0.00859627198302712,8.82433037447367,29.567,12.517,19.89,Finland,8
38,2016-Q3,0.012891139428338255,-0.0045068631167903,0.010585412221869716,8.56523250235684,29.558000000000003,12.469,19.785,Finland,8
39,2016-Q4,0.01780646597295671,-0.007756253953698189,0.010090091349907704,8.81899409709211,29.489,12.139,19.261,Finland,8
40,2017-Q1,0.02817502272179262,-0.004723566775763145,0.012935384954121363,8.7972155671243,29.723000000000006,12.657,20.782,Finland,8
41,2017-Q2,0.03859922467679416,-0.0020760626841378107,0.015258125648251597,8.76382160771111,29.537,12.548,21.431,Finland,8
42,2017-Q3,0.04197503385083385,0.0019157316253259691,0.017946140209266548,8.640752170774519,29.647,13.08,21.537,Finland,8
43,2017-Q4,0.05104520245580848,0.015126442370403708,0.02824662212035215,8.363399687593331,29.928,12.953,20.869,Finland,8
44,2018-Q1,0.05388310797024865,0.020819853723042736,0.0330327940162287,8.27639425613533,30.218000000000004,13.188,21.615,Finland,8
45,2018-Q2,0.0527702038469387,0.02961178702140611,0.030033941333256986,7.21706859103218,30.415,13.214,21.499,Finland,8
46,2018-Q3,0.05145326730102204,0.031067045640361446,0.03307364925241957,7.35931836149656,30.105,13.165,21.348000000000006,Finland,8
47,2018-Q4,0.05399439838257937,0.03697869387747366,0.030434816975918582,6.58955771981621,30.267,13.459,21.382,Finland,8
48,2019-Q1,0.06247101812178912,0.03862608335878868,0.032642116548723364,6.641146293331058,30.349,13.232,23.04,Finland,8
49,2019-Q2,0.07157828353087385,0.03778459352267504,0.03277946995296145,6.72919128735168,30.466,13.276,22.753,Finland,8
50,2019-Q3,0.0688887652328753,0.04044418926007918,0.03606589573334502,6.78677577571311,30.627,12.963,22.916,Finland,8
51,2019-Q4,0.06276779255467142,0.04321387796168802,0.03705316945770031,6.6276149537368605,30.42,13.059,22.913,Finland,8
0,2007-Q1,0.0,0.0,0.0,8.09512844869603,276.523,121.416,140.196,France,9
