index,LOCATION,TIME,PIB,Actifs,Emplois,Chomage,ID_country,Conso_share,Invest_share,Export_share,Labor_prod
0,AUS,1995-Q1,0.0,0.0,0.0,8.80072313433666,1.0,0.5793632202726283,0.24661962159322018,0.18332103931521543,0.0
1,AUS,1995-Q2,0.004244393253387656,0.009370030088083944,0.01372815824516988,8.406954620742638,1.0,0.5848399801923643,0.23872854160297702,0.18459412683239776,-0.009399369488344078
2,AUS,1995-Q3,0.027057692785359234,0.01269161523063046,0.017967351597753672,8.3256097489987,1.0,0.5786704553581109,0.2487470181151994,0.1888755860931097,0.018289628397440083
3,AUS,1995-Q4,0.028281588346624427,0.01843674005494111,0.023488203241377643,8.34837320272312,1.0,0.5757684824304482,0.23248713067358434,0.18454827114227607,-0.004217810912669151
4,AUS,1996-Q1,0.045067769871214164,0.020760048083347558,0.02519857504092049,8.40416524628111,1.0,0.5766378900154322,0.23739701656339937,0.19261064079268708,0.014522961294938241
5,AUS,1996-Q2,0.05205689099010105,0.022794594869917587,0.026546554187918892,8.46617309042032,1.0,0.5735865343239763,0.24786383146588878,0.18943434539808449,0.00535147365077826
6,AUS,1996-Q3,0.0594757377838174,0.026520697997444435,0.02952425421890933,8.53387790076522,1.0,0.5723636210686148,0.23154223166407648,0.18454940146585325,0.0041305094068846415
7,AUS,1996-Q4,0.06740381020809684,0.02639141063670715,0.028426093757540887,8.619932816580791,1.0,0.5714998812187754,0.23609165480092345,0.1863952857679739,0.008522392930780498
8,AUS,1997-Q1,0.07223567162571691,0.03141960482503765,0.03354626387584831,8.612681558758231,1.0,0.5749652355963342,0.24907496272763055,0.19079696623969727,-0.00044976726918655174
9,AUS,1997-Q2,0.10284197625423085,0.029723702190310848,0.03288251174597723,8.52095765295515,1.0,0.5703821813878236,0.24852941623594516,0.20723778462924441,0.028786996104969376
10,AUS,1997-Q3,0.10430810650690635,0.02886634547664802,0.03429198715384047,8.319791281849099,1.0,0.5768338602072047,0.24806435595650095,0.19978327409118815,-3.514546759397774e-05
11,AUS,1997-Q4,0.12056604153567943,0.033419271913647235,0.04253392060146137,7.996355157267651,1.0,0.5727211928469691,0.25229674800466384,0.1967447108326385,0.0066778713099573395
12,AUS,1998-Q1,0.13080269727275018,0.03619969630282211,0.04730364989143671,7.823428370359401,1.0,0.5741193529452705,0.25923806078654515,0.19063378968981584,0.004529083315315319
13,AUS,1998-Q2,0.1426085705036016,0.04061124411445673,0.05260671432941222,7.74943888629973,1.0,0.5808440987865701,0.2495248255385962,0.19794782744148123,0.005335372163669305
14,AUS,1998-Q3,0.16456068148063507,0.0447990302477455,0.056969497512439245,7.738377380250231,1.0,0.5825728941566718,0.25274865855903883,0.19352436568725376,0.014893874152502207
15,AUS,1998-Q4,0.18164306567628608,0.04490346490377686,0.06103585987606762,7.39268611943433,1.0,0.577845028554618,0.25775309225713133,0.1876968471500645,0.010722171650325407
16,AUS,1999-Q1,0.18887479877297092,0.04577360262965613,0.06560483754025155,7.071291182094151,1.0,0.5836831144573741,0.25096870651570113,0.1790824545591673,0.0018045107948712058
17,AUS,1999-Q2,0.1923483319693357,0.04763258845359177,0.06947019773512284,6.89969962962658,1.0,0.5871222690383092,0.25414082513904174,0.17468425770865795,-0.0007033848211044358
18,AUS,1999-Q3,0.2057974043433861,0.052464547694746747,0.07475994586267305,6.86875858997204,1.0,0.5858097427208239,0.25933640269771124,0.18053345030835183,0.006282396745746155
19,AUS,1999-Q4,0.22672021524937186,0.059965386519152106,0.08493265732705625,6.652542569245241,1.0,0.5863010236032795,0.25859959197584914,0.19323348990514522,0.00778243425003744
20,AUS,2000-Q1,0.23336512970288054,0.06331805646949101,0.08844819471254521,6.645346931180309,1.0,0.5745835930519563,0.25693240476848145,0.1967377614334664,0.002167106002733732
21,AUS,2000-Q2,0.245916884418281,0.07123561020351832,0.10036096419183606,6.321146095550111,1.0,0.5769710492700636,0.2652373663348233,0.20712456797523504,-0.000759867236498124
22,AUS,2000-Q3,0.24921327095341267,0.07918258753607617,0.11243568038054214,5.99057955345649,1.0,0.5825723783897118,0.24679845764412017,0.21847845156874265,-0.008271385041995316
23,AUS,2000-Q4,0.24513054263940295,0.07604765729340318,0.10698433185868939,6.17871812381579,1.0,0.5910992639791238,0.22652177570276064,0.22514967091939075,0.0016388260815087818
24,AUS,2001-Q1,0.25804069637133276,0.07992500617961117,0.10900960130517581,6.3445395769563495,1.0,0.5848483082038805,0.22833586831586158,0.21986021507364126,0.008487263841736592
25,AUS,2001-Q2,0.2685859822885451,0.09258428805731816,0.1161411310089765,6.83440614999741,1.0,0.5872656427366783,0.23001934761173198,0.22604944395004556,0.0019374211097886729
26,AUS,2001-Q3,0.28304836787208604,0.09442729734180953,0.11801493519299543,6.835151259236151,1.0,0.5782181077470441,0.23505253708958287,0.21777201414533767,0.009658487506738922
27,AUS,2001-Q4,0.29761283539198313,0.098853231225346,0.12116199008466319,6.94920864821059,1.0,0.5804133241057867,0.24261024855036176,0.2068759790262895,0.008476606864654457
28,AUS,2002-Q1,0.30596882194794456,0.10354644273756125,0.1296508052137208,6.64340660585494,1.0,0.5788018353336495,0.24450396432502539,0.2062104658242753,-0.0011240627352737675
29,AUS,2002-Q2,0.32816011046704024,0.10289649906628308,0.1320030848851508,6.39387935438405,1.0,0.5816363885645851,0.2538074387118776,0.19979830010266625,0.014769309354026205
30,AUS,2002-Q3,0.3335318411502495,0.10934426686933049,0.139854470347214,6.29247697729854,1.0,0.5862656718367922,0.25489332943668763,0.19817703319504923,-0.002875558391243871
