"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1995-Q1","Q1-1995","AUD","Australian Dollar","0","Units",,,91182077498.9238,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1995-Q2","Q2-1995","AUD","Australian Dollar","0","Units",,,93115446544.1205,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1995-Q3","Q3-1995","AUD","Australian Dollar","0","Units",,,97364773624.0046,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1995-Q4","Q4-1995","AUD","Australian Dollar","0","Units",,,96969702332.9511,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1996-Q1","Q1-1996","AUD","Australian Dollar","0","Units",,,102497860182.635,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1996-Q2","Q2-1996","AUD","Australian Dollar","0","Units",,,102366214129.297,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1996-Q3","Q3-1996","AUD","Australian Dollar","0","Units",,,100249699830.972,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1996-Q4","Q4-1996","AUD","Australian Dollar","0","Units",,,102730225857.096,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1997-Q1","Q1-1997","AUD","Australian Dollar","0","Units",,,106094993028.251,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1997-Q2","Q2-1997","AUD","Australian Dollar","0","Units",,,118137676195.042,,
"AUS","Australia","XGS","Exports of goods and services, nominal value (national accounts basis)","Q","Quarterly","1997-Q3","Q3-1997","AUD","Australian Dollar","0","Units",,,114646893013.43,,
