,Germany,Australia,Austria,Belgium,Canada,Denmark,Spain,Finland,France,Hungary,Ireland,Iceland,Italy,Korea,Japan,Luxembourg,Norway,New-Zealand,Netherlands,Portugal,United Kingdom,Sweden,Switzerland,Slovak Republic,United-States
10,[0.40018241788568043],[3.9650004003539715e-11],[4.825960065312276e-10],[0.15721746678759646],[0.07874017253826059],[0.04465379691009035],[1.6957168860150179e-10],[1.1288547735612345e-09],[0.4803765772544049],[1.1127594460119078e-08],[1.0260849327626905e-11],[2.1736011252181298e-10],[0.0],[0.11927455743056173],[0.0],[0.27079898087756216],[6.983625495269259e-11],[0.01757478481154687],[5.503283470689921e-10],[1.5088994166059378e-08],[8.885785579323326e-10],[0.022989664883279578],[1.9870972795986517e-11],[0.09858102242366532],[0.05231001375035883]
11,[0.27567306160563115],[2.2749412863911037e-11],[0.5256669077095617],[4.747375656007476e-10],[4.075927850501175e-10],[0.5015020434292898],[0.19902491215764134],[2.937762501703495e-10],[0.0020091774856743467],[0.030940792608758615],[0.0],[3.87113506968546e-09],[4.3116144434385684e-11],[3.097025513267307e-12],[9.595748422856839e-11],[1.0475179614365095e-10],[5.1183702918711135e-11],[1.3123365793116113e-10],[3.1020206093323406e-10],[0.4279880767367063],[0.06409226715866888],[6.840792725258589e-09],[4.0763871807015417e-10],[8.688120845980095e-10],[9.494102012539787e-10]
12,[1.72570006234626e-11],[0.12619149056881623],[0.10208432758412023],[3.364235586723151e-10],[6.940491914870477e-11],[1.0574244238508104e-10],[2.4630678195156706e-11],[8.737254285286524e-09],[0.03620384280553441],[6.813976523152184e-10],[0.8275510002756201],[0.39739943145190654],[0.0],[7.503107122405354e-11],[7.873172873563292e-12],[1.561017389399977e-10],[0.07992185203032201],[2.972995665233402e-10],[5.899679861737159e-10],[0.15120817401912812],[0.1725495344326794],[1.2325297431501029e-09],[0.4191965794697623],[1.655046056331614e-10],[0.25707568716898765]
13,[2.5358795953390957e-11],[0.18603799584652486],[0.11356907830849051],[0.05133250055530862],[4.130923548870046e-10],[2.8498997746280827e-10],[1.7696682127718505e-12],[6.797224481800633e-10],[1.3215072577083108e-11],[1.6618138990905107e-09],[8.67163177943516e-10],[4.5552797012064776e-09],[0.0],[2.0119468965424036e-08],[1.1722896478489988e-11],[0.17741472817997206],[3.027426433948608e-10],[1.200654243128717e-10],[9.344129414678753e-11],[1.6047102683243665e-10],[3.181496632992021e-10],[0.06273459546307844],[5.7504705229698586e-11],[7.979290931754365e-09],[0.11175890924602591]
14,[1.827362548515665e-11],[6.102625214273705e-11],[4.051470155970037e-10],[0.0522431105607068],[0.1598031658903325],[0.1987587561127716],[1.4263247079519562e-11],[0.0691189431438525],[4.429680594579378e-11],[4.926231491352436e-10],[3.060694084772e-11],[1.3592172373597759e-09],[6.026813575742723e-12],[1.1231156148552703e-10],[7.997786550369873e-11],[3.1545662399714333e-09],[0.13483241781465793],[0.22331133549548254],[0.0009800884370906803],[8.501621110348554e-11],[2.423259414244721e-10],[1.4380169277227262e-09],[0.17336575825647874],[2.064101716473149e-10],[6.847150420485501e-09]
15,[2.8429730871061857e-11],[0.5906294670006373],[2.4616903875695423e-10],[4.898261625481823e-10],[0.17829100994826594],[2.4074207027389424e-10],[5.684191181468349e-11],[3.3076115952199864e-10],[6.188289279675921e-11],[2.6426688362043173e-10],[1.0048771061066034e-10],[1.8872788137270128e-09],[1.5304360860164708e-12],[2.1196032892212494e-10],[2.5458049689426445e-11],[2.84801592337937e-08],[0.34536134650728],[6.918816482804181e-10],[2.8332408088687616e-10],[4.219467609308277e-10],[6.954116110762555e-10],[8.415643090280141e-10],[5.144454237834344e-10],[1.4996113228313643e-10],[1.4281773816072504e-09]
16,[3.0447722143068776e-11],[1.0523068019486071e-10],[1.1717103211884274e-09],[1.0215329032309224e-09],[0.01747667040368916],[3.105958188395424e-10],[5.691468759012207e-11],[1.2357697119243378e-09],[4.6980996214539175e-11],[3.457774470107184e-10],[2.7093896394648543e-11],[0.5421638400478151],[2.2658087807378103e-12],[2.432222478701622e-10],[1.538477626136446e-10],[0.5429904772086865],[6.247678397925567e-09],[0.26161975330779996],[0.7269048575893675],[8.694217281210614e-11],[0.12033131102356497],[1.1386387645793312e-09],[0.07319032365904773],[1.6569615058534107e-10],[0.052983439245084765]
17,[1.5743101853558823e-11],[2.0740607440790637e-11],[3.8986910303995466e-10],[3.5254406153190385e-10],[1.5195069801971552e-10],[0.11334110073470209],[1.3959391902774179e-11],[0.3490163178286188],[0.05307480547509139],[7.991960653581278e-09],[1.6225148052901085e-11],[3.417465813870446e-10],[0.43921853301399577],[2.3902225684253798e-11],[6.964687645261575e-11],[1.0256302355642458e-10],[6.240251805162682e-11],[9.51589832034051e-11],[0.11229866033033621],[1.4623693253514092e-10],[0.10045665013327869],[1.1223027694908719e-09],[0.24644626709836967],[8.813353807350478e-11],[0.04715277259208463]
18,[0.05108513533513261],[0.013420640262185094],[3.8076403748636205e-10],[0.018800117698160167],[3.356750298821035e-11],[2.66885845874987e-10],[3.7571354194997147e-10],[0.15739078574822157],[0.050114994813229966],[0.10122654609143587],[5.000977505066634e-09],[1.2386571377870114e-10],[1.3229485201533529e-11],[6.590651570629885e-11],[7.032530683591673e-13],[1.009185958138816e-10],[8.336449056286061e-12],[2.7739905734728716e-11],[4.271382205609542e-11],[0.00021520187016644635],[5.590480717872447e-10],[8.546223802890175e-10],[8.673470454715593e-11],[9.474768667676605e-10],[0.1944670169621568]
19,[7.814100498768949e-12],[0.08372040203649055],[6.139603781287743e-11],[0.035456899798786995],[0.11890257652706622],[1.6270863419955038e-09],[0.8009750844116392],[0.07201227536452381],[0.03232543770395582],[1.458098914098145e-10],[0.17244899300617464],[1.060326733288401e-10],[0.1784781121677363],[0.0],[1.8844015309166824e-12],[1.1301763603779024e-10],[2.0538864254929928e-11],[0.05223960371718388],[0.0655077768656116],[8.014022958144953e-10],[1.4814163703501319e-10],[0.08586060973322068],[2.913314072487903e-11],[0.5062525909347596],[6.044398901798786e-10]
20,[0.011025548967201104],[1.0500965331350332e-10],[0.03164003914562839],[2.389177766452267e-09],[1.9812028564416257e-10],[5.61068971193564e-10],[1.26461762819721e-10],[3.774854847296067e-09],[4.774824858939603e-10],[0.39414832838292757],[3.807074077466912e-11],[4.3465975383682356e-10],[1.3585071487995367e-11],[7.585465866474908e-11],[3.406705662312797e-11],[2.1426437596316964e-10],[7.027665955796576e-11],[9.906403690989468e-11],[1.476389933906271e-10],[2.2078913038288492e-10],[3.333564419997593e-10],[7.907671348871192e-10],[1.1790474349887354e-10],[2.7024758014961326e-09],[9.603393392658309e-10]
21,[0.06771947924772731],[7.652974169716159e-11],[2.15578427813047e-09],[0.08361595674433459],[0.04642150383574071],[6.165081383084618e-10],[2.5326803212164147e-11],[2.4018096597776316e-10],[5.650891868237185e-11],[6.70104446225024e-10],[1.2902267379184312e-11],[2.4969291873581715e-09],[7.42468085479698e-12],[1.362651315729036e-10],[5.514885453415133e-10],[0.008795772759805148],[0.3254433736627034],[0.11968879070915817],[6.303298217265125e-10],[1.450945783601625e-10],[2.705927459363481e-09],[1.4499432874404164e-09],[1.4578830800596206e-10],[1.453874759486889e-10],[9.730806480346922e-10]
22,[4.5871860120150504e-11],[6.793560984290832e-11],[1.1471187059652875e-09],[3.892323509710251e-10],[1.0912256967567568e-09],[5.351930443724052e-10],[6.290277595656412e-11],[1.827556634791832e-09],[1.2206864277218942e-10],[2.6303409181133902e-09],[2.5583383779428447e-11],[1.358191426150992e-09],[9.285083618788401e-12],[9.680083402343506e-11],[7.014687494755649e-11],[2.518339005089183e-10],[2.0916849286814952e-10],[2.520699511741503e-10],[3.0385416679974673e-10],[3.0144485649753565e-10],[7.907262944717195e-10],[4.607176516362519e-09],[2.2118732269904145e-10],[3.2802501230241526e-10],[2.4271382685003045e-09]
23,[2.1886482593539144e-11],[5.423459792984369e-11],[3.8750412714106714e-10],[2.2985770613775362e-10],[1.916191920576736e-09],[3.066303549197869e-10],[4.7055993510264104e-11],[7.830710470422433e-10],[0.08697987690410794],[7.086896113817736e-10],[3.576888488995131e-11],[1.9018454587558398e-09],[5.70610927664094e-12],[1.4221652073857575e-10],[5.236636210602131e-11],[2.1174623158667012e-10],[2.3953255026395875e-10],[2.7571468708442975e-10],[2.7748814563799923e-10],[2.0440028940802594e-08],[0.231759867013568],[1.1388369991893095e-09],[1.357319966196786e-10],[3.3663469024004043e-10],[1.688866975190229e-08]
