sc_pib,sc_cho,sc_emp,sc_act
0.0,8.096204145705457,0.0,0.0
0.005093856939073069,7.884843436994967,0.0020117678121108753,-0.00027975257961422595
0.015830588676475976,7.799700940908982,0.006704793099541293,0.003479709776027116
0.022300576649090034,7.550787752175245,0.011606485861719959,0.0056504763752396586
0.03115518059195911,7.73064303726805,0.013660505952811465,0.009640257413844132
0.03648398012105837,7.672310989616179,0.0168314345435254,0.012161791599188935
0.05037180760505894,7.6487076113781285,0.019798782250736734,0.014864483401584277
0.05468653629142704,7.5793078930206015,0.024262843450696125,0.01853786079950014
0.07451141890273102,7.198497152714506,0.03178472353762019,0.021785903967042115
0.09033644207311965,7.062944164871318,0.03823733859568214,0.02666806958709867
0.09780355939660473,6.740257795548297,0.044016105364157655,0.028809764298676224
0.10935075114533686,6.50861156912373,0.05091005123969611,0.033005637665243934
0.11662358855372273,6.362706778780314,0.05333251388341964,0.03365545985174172
0.125186767136916,6.260046180293083,0.057021515958841834,0.03603771564153585
0.1302791764827761,6.201670209476198,0.06126995351625389,0.03946528317789065
0.14086793488071628,6.062308428226735,0.06666206802576119,0.04315760990566063
0.15537660950365795,5.9551870212553935,0.07107402875872526,0.04623519370093243
0.16121346875219894,5.923611016623177,0.07505506077334721,0.04978704190868048
0.1829581958987469,5.729257511517251,0.08075651237679146,0.05314695433896821
0.20128354161691686,5.548928050764337,0.08688185661580533,0.057071302827443424
0.2168581815208923,5.466778228571559,0.09044249684589845,0.059551982256874164
0.22198597321542046,5.240622325571904,0.09569491899842272,0.06212667832015818
0.233491486847469,5.243555632107325,0.09916744296008245,0.0655435893342925
0.2356156967447226,5.16844602408304,0.10187752255842447,0.06731863006753769
0.24712593508069963,5.180775571610413,0.10360072000702789,0.06911912580541457
0.2535662013415608,5.204338979429249,0.10746945585588619,0.07317883124856339
0.2606985653054281,5.249103572222587,0.1089991441002812,0.0751769340841796
0.27025086008511867,5.437761231053029,0.11225438076937694,0.08053478049225445
0.27800012248397343,5.5712629684638335,0.11486122634373046,0.08468770796045083
0.2899313545272368,5.511831226702766,0.12145520231653356,0.09039682634660118
0.29522226434385007,5.493561967381632,0.12481250378074389,0.09340060518361026
0.30516466589134883,5.518778613281756,0.12757990752543674,0.09641635574366761
0.30938614459202707,5.523944551106551,0.1299807548780334,0.09872837153937314
0.3116292960053807,5.555124547051645,0.13142272352423903,0.10052950034783974
0.32405419171127925,5.659804744809474,0.13357221082868412,0.10385438427582436
0.33573668334604373,5.512881807986,0.13733064702325903,0.1057143302082782
0.3522991833466986,5.422265373943416,0.1419950327922404,0.10920781289365927
0.36093332932762723,5.368520041902951,0.14463702564490516,0.1110489799394947
0.3641254621885942,5.33970150261462,0.14704360461861748,0.11296555885913116
0.3728093947474063,5.393214532938081,0.15208015755781829,0.11849254961409247
0.3844878867812731,5.360318860634706,0.15507815278821763,0.12089940767834026
0.3978503103131307,5.361789785148257,0.15699312763602039,0.12273967220259341
0.4118568480471845,5.334963821186974,0.16208419602708887,0.12727817599038044
0.4268180228752719,5.4159384940111615,0.16510368688228744,0.13105406753492216
0.43590961646807536,5.315867460326498,0.17224873820178305,0.13682178757781804
0.43915127237460627,5.29590815146333,0.17834637853548443,0.14240255889949982
0.4459405118935854,5.293913844475966,0.18342209124671538,0.14740079733907155
0.45573235565025993,5.145095757544828,0.18850171574632724,0.1504339921323448
0.469769991852683,5.11986724120551,0.19398459562469628,0.15545618491854757
0.4789294242399392,4.995639614144451,0.19971918260064056,0.15950668914638075
0.488507773542318,4.920748835369249,0.2066303270187263,0.16525198515739553
0.5029937732638696,4.855806295288043,0.2148247814203057,0.17243834760447002
0.4999295160286792,4.8559424515997645,0.22010984817875842,0.177585365303278
0.4962221336624636,4.965267337186992,0.22294486842132283,0.18172842727072797
0.4899213691729871,5.242088390801678,0.22113592805759152,0.1835133200988065
0.4679137958181144,5.686056318627923,0.2179547979960874,0.18611634241783093
0.4432700546475482,6.505824619920537,0.20654225175678834,0.18571950020115463
0.4364960518016321,7.099556195681723,0.19876316129170027,0.1857759950432089
0.44117596351365723,7.214115914449406,0.1954339076106692,0.18401166554155335
0.44810254598633464,7.162462357248251,0.1978247851437452,0.18576763018015519
0.4646879843121817,7.295281714003842,0.19794062287156972,0.187435945177044
0.4711745424417646,7.197984660573264,0.20380845628414085,0.1919923322152523
0.47183250311132197,7.186512753205081,0.206752293321616,0.1948113511160881
0.48575509200571976,7.133264867668011,0.2079152427485632,0.1952465382986186
0.4948975271401127,7.069222996904912,0.21159107910373232,0.19798417307246285
0.49586318812818875,7.111335170453444,0.21383770146412018,0.2006206305055726
0.5087905341494482,7.1894368432199185,0.21410086183025442,0.2017272309486333
0.51314943449117,7.325511969935146,0.21626135223809972,0.20556295775391986
0.5234277019049517,7.255437632450782,0.21979667034900208,0.20819023875575068
0.5253319681358977,7.124577341113588,0.2274749735380001,0.21394156525109154
0.5277548718793819,7.099437717606641,0.22895376746588236,0.21502257702220884
0.5298154157410102,7.173362794311094,0.23271436044553895,0.21950956292812318
0.5379025426330859,7.158626059882567,0.23352721072931337,0.21995188892452627
0.5485910446392612,7.083802470506733,0.2372619735908508,0.2226758312693014
0.5627247083909986,6.959346150729786,0.24304299882745875,0.22670641097082678
0.5705946182436656,6.762386367952588,0.24808446000173476,0.229192170020579
0.5804536048212743,6.556751167088118,0.25239048607244086,0.2308418567429013
0.5951461974662753,6.301981384151146,0.25665248281592146,0.23174800897923656
0.6070121230457377,6.205184119079169,0.2610590692118956,0.23486680305511887
