,Unnamed: 0,Dates,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,Pays,numero
2518,119,2019-Q3,544.639,32673.5882582648,33949.528776135296,3.7583452962897903,351.208,97.537,172.158,United Kingdom,21
2519,120,2019-Q4,544.7330000000001,32803.8170976017,34058.3050650448,3.6833540748646403,350.30800000000005,95.955,178.74099999999999,United Kingdom,21
2520,1,1990-Q1,,,,,,,,Sweden,22
2521,2,1990-Q2,,,,,,,,Sweden,22
2522,3,1990-Q3,,,,,,,,Sweden,22
2523,4,1990-Q4,,,,,,,,Sweden,22
2524,5,1991-Q1,,,,,,,,Sweden,22
2525,6,1991-Q2,,,,,,,,Sweden,22
2526,7,1991-Q3,,,,,,,,Sweden,22
2527,8,1991-Q4,,,,,,,,Sweden,22
2528,9,1992-Q1,,,,,,,,Sweden,22
2529,10,1992-Q2,,,,,,,,Sweden,22
2530,11,1992-Q3,,,,,,,,Sweden,22
2531,12,1992-Q4,,,,,,,,Sweden,22
2532,13,1993-Q1,640.077,,,,302.91900000000004,122.802,153.541,Sweden,22
2533,14,1993-Q2,647.8530000000001,,,,306.388,123.189,155.174,Sweden,22
2534,15,1993-Q3,655.831,,,,305.774,121.014,165.408,Sweden,22
2535,16,1993-Q4,656.36,,,,306.079,123.755,165.416,Sweden,22
2536,17,1994-Q1,663.171,,,,309.166,128.816,172.987,Sweden,22
2537,18,1994-Q2,670.262,,,,308.51099999999997,128.394,177.59099999999998,Sweden,22
2538,19,1994-Q3,677.6489999999999,,,,310.324,131.167,180.135,Sweden,22
2539,20,1994-Q4,687.94,,,,314.474,138.583,193.44799999999998,Sweden,22
2540,21,1995-Q1,695.81,,,,311.895,137.523,201.345,Sweden,22
2541,22,1995-Q2,700.757,,,,314.72700000000003,138.283,202.53400000000002,Sweden,22
2542,23,1995-Q3,704.416,,,,314.113,145.164,201.554,Sweden,22
2543,24,1995-Q4,710.23,,,,314.858,149.816,203.618,Sweden,22
2544,25,1996-Q1,714.112,,,,316.007,147.02100000000002,205.11599999999999,Sweden,22
2545,26,1996-Q2,710.315,,,,316.93,147.519,211.31099999999998,Sweden,22
2546,27,1996-Q3,714.062,,,,322.34,152.861,210.169,Sweden,22
2547,28,1996-Q4,717.419,,,,322.887,152.775,218.403,Sweden,22
2548,29,1997-Q1,724.247,,,,325.447,149.754,228.28099999999998,Sweden,22
2549,30,1997-Q2,732.706,,,,330.56199999999995,153.792,240.484,Sweden,22
2550,31,1997-Q3,739.5260000000001,,,,329.73,151.542,244.364,Sweden,22
2551,32,1997-Q4,752.7180000000001,,,,332.01800000000003,156.437,252.601,Sweden,22
2552,33,1998-Q1,756.363,,,,334.44,159.735,255.03599999999997,Sweden,22
2553,34,1998-Q2,766.576,,,,338.44599999999997,163.15200000000002,257.443,Sweden,22
2554,35,1998-Q3,771.834,,,,341.99800000000005,166.132,265.265,Sweden,22
2555,36,1998-Q4,779.066,,,,346.314,169.114,272.467,Sweden,22
2556,37,1999-Q1,788.995,,,,347.94300000000004,172.604,270.89099999999996,Sweden,22
2557,38,1999-Q2,792.893,,,,349.48199999999997,170.692,276.486,Sweden,22
2558,39,1999-Q3,800.3560000000001,,,,354.139,177.834,286.371,Sweden,22
2559,40,1999-Q4,814.574,,,,364.24800000000005,175.59599999999998,288.216,Sweden,22
2560,41,2000-Q1,821.018,,,,368.856,179.215,297.54200000000003,Sweden,22
2561,42,2000-Q2,840.064,,,,374.33,184.956,311.183,Sweden,22
2562,43,2000-Q3,847.2860000000001,,,,376.074,187.71,323.962,Sweden,22
2563,44,2000-Q4,845.02,,,,374.894,190.27700000000002,327.61,Sweden,22
2564,45,2001-Q1,849.1339999999999,4308.04583696004,4527.73283934852,4.8520310314972095,376.764,189.335,319.539,Sweden,22
2565,46,2001-Q2,848.0830000000001,4317.306701558449,4534.6547017359,4.79304411191975,376.952,187.678,313.717,Sweden,22
2566,47,2001-Q3,851.2189999999999,4320.47728956134,4541.244479503061,4.86138086020606,377.954,189.25900000000001,316.606,Sweden,22
