Pays,DEU,DEU,DEU,DEU,DEU,DEU,DEU,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUT,AUT,AUT,AUT,AUT,AUT,AUT,BEL,BEL,BEL,BEL,BEL,BEL,BEL,CAN,CAN,CAN,CAN,CAN,CAN,CAN,DNK,DNK,DNK,DNK,DNK,DNK,DNK,ESP,ESP,ESP,ESP,ESP,ESP,ESP,FIN,FIN,FIN,FIN,FIN,FIN,FIN,FRA,FRA,FRA,FRA,FRA,FRA,FRA,GRC,GRC,GRC,GRC,GRC,GRC,GRC,IRL,IRL,IRL,IRL,IRL,IRL,IRL,ITA,ITA,ITA,ITA,ITA,ITA,ITA,JPN,JPN,JPN,JPN,JPN,JPN,JPN,LUX,LUX,LUX,LUX,LUX,LUX,LUX,NOR,NOR,NOR,NOR,NOR,NOR,NOR,NZL,NZL,NZL,NZL,NZL,NZL,NZL,NLD,NLD,NLD,NLD,NLD,NLD,NLD,PRT,PRT,PRT,PRT,PRT,PRT,PRT,GBR,GBR,GBR,GBR,GBR,GBR,GBR,SWE,SWE,SWE,SWE,SWE,SWE,SWE,CHE,CHE,CHE,CHE,CHE,CHE,CHE,TUR,TUR,TUR,TUR,TUR,TUR,TUR,USA,USA,USA,USA,USA,USA,USA,KOR,KOR,KOR,KOR,KOR,KOR,KOR,HUN,HUN,HUN,HUN,HUN,HUN,HUN,SVK,SVK,SVK,SVK,SVK,SVK,SVK,ISL,ISL,ISL,ISL,ISL,ISL,ISL
Variables,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports,PIB,Emplois,Actifs,Chomage,Conso,Formation,Exports
1990-Q1,,,,5.05985123381007,,,,206.89,59.599611033333304,63.5594549666667,6.23001676666667,108.37299999999999,41.272,26.941999999999997,,,,3.15392325618783,,,,,,,,,,,275.46825,,,7.63333333333333,140.901,56.143,59.41575,,,,8.079384531067952,,,,,,,,,,,32.137,,,,16.671,9.459,5.382000000000001,368.384,,,,199.16299999999998,86.12799999999999,56.785,,,,6.87460941185492,,,,,,,12.626642260377901,,,,,,,,,,,,62.098629588876705,63.4323113996897,2.13333333333333,,,,,,,,,,,460.82199999999995,,,,161.024,99.65100000000001,175.108,27.703000000000003,58.9,63.5,7.2,15.845,5.039,5.832999999999999,,,,,,,,,,,,,,,305.893,,,,,65.832,57.775,,,,,,,,113.31745265299999,,,,60.062470309,29.411882206999998,42.055748238,,,,,,,,9358.289,63.2,66.7333333333333,5.3,5998.058000000001,1695.374,682.3,109314.8,,,2.43333333333333,67730.3,41118.6,13410.2,,,,,,,,,,,,,,,,,,,,,
1990-Q2,,,,4.91484253232251,,,,207.173,59.6628253,63.786529833333304,6.4645277000000005,108.965,39.657,26.986,,,,3.26996866610814,,,,,,,,,,,274.3275,,,7.66666666666667,139.352,54.77875,61.57075,,,,8.40923014437444,,,,,,,,,,,31.695,,,,16.815,8.907,5.702999999999999,369.67900000000003,,,,199.63299999999998,86.516,55.761,,,,6.976663950811401,,,,,,,12.771494310585101,,,,,,,,,,,,62.1738407844441,63.51669163842399,2.13333333333333,,,,,,,,,,,465.8,,,,164.703,88.134,181.215,27.59,59.2,64.1,7.7,15.887,5.006,5.974,,,,,,,,,,,,,,,307.471,,,,,64.89399999999999,57.66,,,,,,,,113.978585321,,,,60.06922976,29.49411979,43.60271191100001,,,,,,,,9392.251,63.0,66.5333333333333,5.33333333333333,6016.329000000001,1668.4370000000001,690.785,111753.2,,,2.3,69240.2,42497.6,13603.4,,,,,,,,,,,,,,,,,,,,,
1990-Q3,,,,4.71423148484384,,,,205.93099999999998,59.3097831,63.92868489999999,7.22537423333333,109.10600000000001,39.505,28.052,,,,3.41228158316816,,,,,,,,,,,272.3865,,,8.16666666666666,139.433,53.27875,61.21225,,,,8.21164236794594,,,,,,,,,,,31.023000000000003,,,,16.595,8.596,5.42,371.314,,,,200.218,86.884,56.306999999999995,,,,7.07304757747751,,,,,,,12.9786155502183,,,,,,,,,,,,62.2882339289858,63.624225980858796,2.06666666666667,,,,,,,,,,,461.219,,,,165.58700000000002,79.238,183.769,27.594,58.7,63.9,8.1,15.917,5.051,6.19,,,,,,,,,,,,,,,304.257,,,,,64.30199999999999,57.586999999999996,,,,,,,,113.561986474,,,,60.319090564,29.402842320999998,41.188315626,,,,,,,,9398.499,62.6666666666667,66.4666666666667,5.7,6040.1630000000005,1659.1429999999998,696.0139999999999,115366.1,,,2.53333333333333,70678.9,45637.0,14198.8,,,,,,,,,,,,,,,,,,,,,
1990-Q4,,,,4.577328518050289,,,,207.139,58.6863465333333,63.6977438333333,7.86750946666667,108.421,38.098,28.496,,,,3.23916512456037,,,,,,,,,,,269.959,,,9.13333333333333,138.98875,51.371,59.5875,,,,8.44195377651536,,,,,,,,,,,30.844,,,,16.33,8.451,5.585,372.255,,,,201.407,86.90799999999999,57.419,,,,7.173648957785621,,,,,,,13.305885508478802,,,,,,,,,,,,62.383895811985596,63.716016672314,2.06666666666667,,,,,,,,,,,473.569,,,,164.512,80.03,193.805,28.14,58.2,63.9,8.9,16.192,5.086,6.233,,,,,,,,,,,,,,,303.21,,,,,63.582,58.048,,,,,,,,113.07118699200001,,,,60.739437906999996,29.166733195,41.371323077,,,,,,,,9312.937,62.3333333333333,66.4,6.13333333333333,5994.2119999999995,1628.395,702.143,117711.8,,,2.56666666666667,72274.7,46348.4,14105.5,,,,,,,,,,,,,,,,,,,,,
1991-Q1,557.3467,,,5.20502795668186,314.05172000000005,121.03088999999999,108.56087,204.453,57.863161399999996,63.3995391333333,8.732559033333331,108.655,36.525,29.718000000000004,,,,3.38381744212655,,,,,,,,,,,266.1065,,,10.1666666666667,136.22125,51.79275,58.3625,,,,8.839257555426881,,,,,,,,,,,30.224,,,,16.143,7.925,4.992,372.10400000000004,,,,201.232,86.074,57.623000000000005,,,,7.46650316809459,,,,,,,14.298508640831999,,,,,,,,,,,,62.598892405063296,63.9206986697762,2.1,,,,,,,,,,,477.587,,,,167.113,88.751,191.488,27.214000000000002,57.7,64.0,9.8,15.743,4.556,6.421,,,,,,,,,,,,,,,302.325,,,,,60.688,55.891999999999996,,,,,,,,113.236240645,,,,61.009592141999995,29.335734196,42.759261654,,,,,,,,9269.367,61.9,66.2333333333333,6.6,5971.672,1587.408,706.434,122126.2,,,2.5,73458.2,48094.4,14846.9,,,,,,,,,,,,,,,,,,,,,
1991-Q2,554.39617,,,5.3944260478933295,317.29762999999997,122.28801000000001,102.20626,204.195,57.2758642333333,63.3824552,9.63393596666666,109.105,35.510999999999996,31.2,,,,3.44204977769664,,,,,,,,,,,267.34725,,,10.3333333333333,138.513,51.2055,60.9335,,,,9.23219928144092,,,,,,,,,,,29.875,,,,16.175,7.587999999999999,4.7219999999999995,373.36199999999997,,,,201.42,86.448,59.222,,,,7.595769887858549,,,,,,,14.625736130118598,,,,,,,,,,,,62.68318328185579,64.023731112356,2.1,,,,,,,,,,,480.085,,,,165.095,82.227,195.463,26.945,57.3,64.0,10.5,15.515999999999998,4.056,6.56,,,,,,,,,,,,,,,301.943,,,,,59.78,57.74,,,,,,,,112.15416412,,,,61.357522138,29.354058301,40.733505320999996,,,,,,,,9341.642,61.7666666666667,66.2666666666667,6.83333333333333,6021.1630000000005,1596.569,732.19,124155.3,,,2.3,75278.3,50174.6,15707.8,,,,,,,,,,,,,,,,,,,,,
1991-Q3,553.2613299999999,,,5.90834794538491,311.48704,123.03013999999999,107.21186000000002,205.03400000000002,56.7353096333333,62.9255337,9.83714746666666,110.397,35.836999999999996,31.9,,,,3.58801037215482,,,,,,,,,,,267.70525,,,10.4333333333333,138.454,51.36525,63.2585,,,,9.00754023639433,,,,,,,,,,,29.268,,,,16.212,7.156000000000001,5.348,374.56699999999995,,,,201.063,86.281,60.903999999999996,,,,7.71518223441033,,,,,,,14.8414782207899,,,,,,,,,,,,62.77324419100061,64.1496625151303,2.1,,,,,,,,,,,478.912,,,,168.467,93.321,194.019,27.223000000000003,56.8,63.9,11.2,15.59,4.146,6.831,,,,,,,,,,,,,,,301.285,,,,,58.687,58.625,,,,,,,,112.154298994,,,,61.395392996999995,28.768037935,40.952616551999995,,,,,,,,9388.845,61.5666666666667,66.1,6.86666666666667,6051.184,1596.484,749.5210000000001,126818.8,,,2.4,77555.1,50073.0,14950.4,,,,,,,,,,,,,,,,,,,,,
1991-Q4,560.4485400000001,,,6.059189644578019,317.81857,126.3471,107.49585,205.172,56.3689818,62.78567579999999,10.219677466666699,110.57700000000001,35.843,32.014,,,,3.61347404813529,,,,,,,,,,,268.19925,,,10.3333333333333,139.263,52.085,63.153999999999996,,,,9.20245879762279,,,,,,,,,,,28.929000000000002,,,,15.885,6.752999999999999,5.285,376.16,,,,202.02,85.704,62.201,,,,7.82470034293074,,,,,,,14.973575541910998,,,,,,,,,,,,62.81321557082111,64.14780828568001,2.06666666666667,,,,,,,,,,,482.42400000000004,,,,167.78900000000002,82.992,196.891,27.247,56.4,63.4,11.0,15.523,4.176,7.022,,,,,,,,,,,,,,,301.811,,,,,58.902,58.445,,,,,,,,112.55237384,,,,61.803692028,27.800237415,41.075965865,,,,,,,,9421.565,61.366666666666696,66.0666666666667,7.1,6048.156,1597.7120000000002,766.393,129993.8,,,2.46666666666667,78987.8,52415.5,16573.4,,,,,,,,,,,,,,,,,,,,,
1992-Q1,568.90282,,,6.43229268815766,321.20486,130.08813,108.58731,206.707,56.373507700000005,62.9284980666667,10.4166079666667,111.73100000000001,35.865,31.783,,,,3.39248073723616,,,,,,,,,,,268.39475,,,10.6,139.30700000000002,51.72325,63.684,,,,8.81665894938532,,,,,,,,,,,29.014,,,,15.609000000000002,6.642,5.499,380.01300000000003,,,,202.389,86.314,63.678999999999995,,,,8.44324167456609,,,,,,,14.881008031243999,,,,,,,,,,,,62.9356721332855,64.27239776804379,2.06666666666667,,,,,,,,,,,492.68300000000005,,,,169.041,73.36399999999999,205.227,27.379,56.7,63.6,11.0,15.628,4.34,6.712999999999999,,,,,,,,,,,,,,,301.83099999999996,,,,,59.06100000000001,59.091,,,,,,,,113.402165949,,,,61.756651663999996,27.185607213,43.192520669,,,,,,,,9534.346,61.4333333333333,66.3,7.36666666666667,6161.398,1619.9620000000002,780.24,132308.2,,,2.4,79845.0,53704.5,16738.2,,,,,,,,,,,,,,,,,,,,,
